concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
15, 97.47, 105, 153.34, 1167, 195.9, 239.95, 625.75, 153.34, 1167, 1462, 0, 0, 0, 0, 0, 1462
30, 234.47, 106, 127.4, 321, 140.0, 150.0, 204.52, 127.4, 321, 3517, 0, 0, 0, 0, 45, 3562
45, 269.4, 107, 166.33, 626, 236.0, 273.0, 353.0, 166.33, 626, 4041, 0, 0, 0, 0, 30, 4071
60, 306.93, 117, 194.21, 690, 262.0, 300.0, 394.94, 194.21, 690, 4604, 0, 0, 0, 0, 15, 4619
75, 363.13, 109, 205.3, 469, 253.0, 283.0, 364.62, 205.3, 469, 5447, 0, 0, 0, 0, 60, 5507
90, 416.33, 106, 213.51, 493, 246.0, 264.0, 317.0, 213.51, 493, 6245, 0, 0, 0, 0, 75, 6320
105, 439.4, 106, 237.14, 507, 259.0, 271.0, 312.0, 237.14, 507, 6591, 0, 0, 0, 0, 30, 6621
120, 455.27, 111, 261.08, 420, 275.0, 281.0, 300.0, 261.08, 420, 6829, 0, 0, 0, 0, 75, 6904
135, 465.0, 143, 287.51, 420, 295.0, 299.0, 313.0, 287.51, 420, 6975, 0, 0, 0, 0, 71, 7046
150, 461.27, 106, 321.72, 625, 332.0, 344.0, 389.82, 321.72, 625, 6919, 0, 0, 0, 0, 53, 6972
165, 465.87, 143, 349.89, 478, 357.0, 359.0, 369.13, 349.89, 478, 6988, 0, 0, 0, 0, 47, 7035
180, 464.53, 132, 382.39, 513, 390.0, 393.0, 401.0, 382.39, 513, 6968, 0, 0, 0, 0, 99, 7067
195, 466.33, 111, 412.3, 727, 421.0, 423.0, 433.0, 412.3, 727, 6995, 0, 0, 0, 0, 45, 7040
210, 465.73, 144, 444.06, 579, 456.0, 463.0, 486.0, 444.06, 579, 6986, 0, 0, 0, 0, 90, 7076
225, 465.2, 158, 475.66, 624, 486.0, 491.0, 502.0, 475.66, 624, 6978, 0, 0, 0, 0, 60, 7038
240, 459.07, 145, 513.75, 686, 538.0, 545.0, 569.15, 513.75, 686, 6886, 0, 0, 0, 0, 45, 6931
255, 459.47, 149, 544.68, 685, 569.0, 574.0, 597.0, 544.68, 685, 6892, 0, 0, 0, 0, 46, 6938
270, 452.0, 110, 585.8, 1326, 606.0, 634.05, 837.0, 585.8, 1326, 6780, 0, 0, 0, 0, 101, 6881
285, 457.07, 163, 610.56, 769, 637.0, 651.0, 692.0, 610.56, 769, 6856, 0, 0, 0, 0, 48, 6904
300, 455.47, 156, 644.3, 900, 667.0, 722.8, 824.0, 644.3, 900, 6832, 0, 0, 0, 0, 62, 6894
315, 457.27, 107, 673.34, 1252, 701.0, 707.0, 728.42, 673.34, 1252, 6859, 0, 0, 0, 0, 30, 6889
330, 452.13, 164, 712.17, 998, 736.0, 850.6, 936.0, 712.17, 998, 6782, 0, 0, 0, 0, 123, 6905
345, 461.67, 154, 728.97, 901, 756.0, 759.0, 788.76, 728.97, 901, 6925, 0, 0, 0, 0, 52, 6977
360, 447.53, 156, 782.67, 1091, 814.0, 971.0, 1006.0, 782.67, 1091, 6713, 0, 0, 0, 0, 63, 6776
375, 454.53, 136, 802.77, 1017, 845.0, 853.0, 882.83, 802.77, 1017, 6818, 0, 0, 0, 0, 60, 6878
