concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
15, 103.4, 64, 144.62, 1803, 192.0, 218.0, 324.0, 144.62, 1803, 1551, 0, 0, 0, 0, 0, 1551
30, 330.73, 56, 90.48, 216, 125.0, 142.0, 174.0, 90.48, 216, 4961, 0, 0, 0, 0, 0, 4961
45, 517.27, 59, 86.71, 171, 102.0, 108.0, 122.0, 86.71, 171, 7759, 0, 0, 0, 0, 0, 7759
60, 579.93, 62, 103.14, 292, 127.0, 137.0, 166.02, 103.14, 292, 8699, 0, 0, 0, 0, 0, 8699
75, 803.4, 61, 93.05, 172, 109.0, 115.0, 130.0, 93.05, 172, 12051, 0, 0, 0, 0, 0, 12051
90, 900.13, 53, 99.63, 383, 120.0, 130.0, 162.0, 99.63, 383, 13502, 0, 0, 0, 0, 0, 13502
105, 870.13, 60, 120.06, 638, 180.9, 215.0, 301.0, 120.06, 638, 13052, 0, 0, 0, 0, 0, 13052
120, 843.8, 55, 141.29, 637, 217.0, 257.0, 348.0, 141.29, 637, 12657, 0, 0, 0, 0, 0, 12657
135, 844.73, 72, 158.77, 653, 235.0, 276.0, 359.0, 158.77, 653, 12671, 0, 0, 0, 0, 0, 12671
150, 846.53, 66, 175.97, 653, 251.0, 290.0, 379.0, 175.97, 653, 12698, 0, 0, 0, 0, 0, 12698
165, 846.6, 71, 193.46, 685, 269.0, 307.0, 397.0, 193.46, 685, 12699, 0, 0, 0, 0, 0, 12699
180, 842.8, 79, 211.92, 690, 287.0, 327.0, 419.0, 211.92, 690, 12642, 0, 0, 0, 0, 0, 12642
195, 845.0, 75, 228.83, 829, 303.0, 340.0, 429.0, 228.83, 829, 12675, 0, 0, 0, 0, 0, 12675
210, 845.07, 82, 246.27, 807, 320.0, 358.0, 448.0, 246.27, 807, 12676, 0, 0, 0, 0, 0, 12676
225, 843.8, 79, 264.11, 788, 339.0, 377.0, 465.0, 264.11, 788, 12657, 0, 0, 0, 0, 0, 12657
240, 844.67, 73, 281.27, 779, 357.0, 395.0, 478.93, 281.27, 779, 12670, 0, 0, 0, 0, 0, 12670
255, 846.33, 90, 298.03, 806, 372.0, 410.0, 495.0, 298.03, 806, 12695, 0, 0, 0, 0, 0, 12695
270, 842.47, 97, 316.81, 954, 394.0, 431.0, 515.0, 316.81, 954, 12637, 0, 0, 0, 0, 0, 12637
285, 841.53, 87, 334.64, 805, 409.0, 446.0, 530.0, 334.64, 805, 12623, 0, 0, 0, 0, 0, 12623
300, 839.8, 105, 352.79, 788, 429.0, 463.2, 555.0, 352.79, 788, 12597, 0, 0, 0, 0, 0, 12597
315, 841.93, 95, 369.26, 811, 445.0, 483.0, 571.0, 369.26, 811, 12629, 0, 0, 0, 0, 0, 12629
330, 839.8, 101, 387.59, 939, 465.0, 503.0, 595.0, 387.59, 939, 12597, 0, 0, 0, 0, 0, 12597
345, 842.47, 104, 403.75, 836, 479.0, 516.0, 600.28, 403.75, 836, 12637, 0, 0, 0, 0, 0, 12637
360, 827.87, 108, 428.46, 1009, 512.0, 576.0, 705.0, 428.46, 1009, 12418, 0, 0, 0, 0, 0, 12418
375, 845.67, 130, 436.52, 923, 512.0, 549.0, 635.0, 436.52, 923, 12685, 0, 0, 0, 0, 0, 12685
