concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
40, 261.87, 101, 152.18, 921, 245.0, 299.0, 638.35, 152.18, 921, 3928, 0, 0, 0, 0, 6, 3934
80, 458.0, 101, 174.01, 240, 206.0, 213.0, 225.0, 174.01, 240, 6870, 0, 0, 0, 0, 34, 6904
120, 588.87, 101, 201.81, 373, 237.0, 242.0, 254.0, 201.81, 373, 8833, 0, 0, 0, 0, 80, 8913
160, 769.0, 101, 206.39, 541, 246.0, 254.0, 462.0, 206.39, 541, 11535, 0, 0, 0, 0, 120, 11655
200, 1070.2, 101, 185.51, 306, 214.0, 226.0, 239.0, 185.51, 306, 16053, 0, 0, 0, 0, 160, 16213
240, 1134.07, 101, 209.75, 501, 256.0, 266.0, 282.0, 209.75, 501, 17011, 0, 0, 0, 0, 106, 17117
280, 1272.13, 102, 219.25, 425, 236.0, 251.95, 382.0, 219.25, 425, 19082, 0, 0, 0, 0, 174, 19256
320, 1301.6, 102, 243.41, 573, 264.0, 356.0, 413.54, 243.41, 573, 19524, 0, 0, 0, 0, 239, 19763
360, 1309.4, 102, 271.93, 537, 379.0, 399.0, 429.0, 271.93, 537, 19641, 0, 0, 0, 0, 121, 19762
400, 1229.8, 102, 320.04, 683, 432.0, 452.0, 563.0, 320.04, 683, 18447, 0, 0, 0, 0, 240, 18687
440, 1276.73, 102, 341.23, 616, 444.0, 462.0, 504.0, 341.23, 616, 19151, 0, 0, 0, 0, 118, 19269
480, 1230.47, 103, 384.46, 637, 488.0, 523.0, 593.0, 384.46, 637, 18457, 0, 0, 0, 0, 197, 18654
520, 1149.53, 103, 447.36, 734, 568.0, 593.0, 638.0, 447.36, 734, 17243, 0, 0, 0, 0, 165, 17408
560, 1023.13, 103, 534.41, 1003, 781.0, 871.0, 969.0, 534.41, 1003, 15347, 0, 0, 0, 0, 118, 15465
600, 1074.07, 104, 549.81, 870, 672.0, 784.0, 841.0, 549.81, 870, 16111, 0, 0, 0, 0, 129, 16240
640, 1075.47, 109, 584.48, 833, 659.0, 668.0, 779.0, 584.48, 833, 16132, 0, 0, 0, 0, 212, 16344
680, 1013.93, 136, 654.31, 1127, 804.0, 815.0, 1009.92, 654.31, 1127, 15209, 0, 0, 0, 0, 101, 15310
720, 991.2, 121, 705.69, 1125, 839.0, 854.0, 881.0, 705.69, 1125, 14868, 0, 0, 0, 0, 105, 14973
760, 892.6, 103, 826.36, 1568, 1001.0, 1166.0, 1227.0, 826.36, 1568, 13389, 0, 0, 0, 0, 113, 13502
800, 939.33, 110, 824.35, 1229, 956.0, 1059.0, 1132.0, 824.35, 1229, 14090, 0, 0, 0, 0, 171, 14261
840, 902.07, 143, 892.48, 1230, 1086.0, 1129.0, 1207.0, 892.48, 1230, 13531, 0, 0, 0, 0, 146, 13677
880, 885.87, 121, 970.92, 1358, 1169.0, 1201.0, 1275.13, 970.92, 1358, 13288, 0, 0, 0, 0, 105, 13393
920, 844.67, 171, 1060.36, 1366, 1255.0, 1298.0, 1332.0, 1060.36, 1366, 12670, 0, 0, 0, 0, 80, 12750
960, 825.8, 135, 1140.67, 1937, 1291.0, 1330.0, 1804.0, 1140.67, 1937, 12387, 0, 0, 0, 0, 108, 12495
1000, 796.4, 192, 1221.24, 1484, 1352.0, 1385.0, 1413.0, 1221.24, 1484, 11946, 0, 0, 0, 0, 131, 12077
