concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
40, 299.47, 53, 133.17, 953, 192.0, 220.0, 314.27, 133.17, 953, 4492, 0, 0, 0, 0, 0, 4492
80, 636.93, 59, 125.11, 895, 157.0, 169.0, 193.0, 125.11, 895, 9554, 0, 0, 0, 0, 0, 9554
120, 794.53, 67, 150.36, 732, 186.0, 197.0, 245.0, 150.36, 732, 11918, 0, 0, 0, 0, 0, 11918
160, 1045.0, 60, 152.32, 2472, 193.0, 206.0, 235.0, 152.32, 2472, 15675, 0, 0, 0, 0, 0, 15675
200, 1289.0, 54, 154.45, 2352, 206.0, 222.0, 257.0, 154.45, 2352, 19335, 0, 0, 0, 0, 0, 19335
240, 1697.27, 52, 140.8, 645, 189.0, 203.0, 232.0, 140.8, 645, 25459, 0, 0, 0, 0, 0, 25459
280, 2175.0, 52, 128.07, 410, 170.0, 181.0, 200.0, 128.07, 410, 32625, 0, 0, 0, 0, 0, 32625
320, 2192.73, 52, 145.12, 2445, 202.0, 219.0, 244.0, 145.12, 2445, 32891, 0, 0, 0, 0, 0, 32891
360, 2224.87, 52, 160.9, 2644, 233.0, 251.0, 279.0, 160.9, 2644, 33373, 0, 0, 0, 0, 0, 33373
400, 2229.73, 51, 178.09, 445, 254.0, 277.0, 326.0, 178.09, 445, 33446, 0, 0, 0, 0, 0, 33446
440, 2136.2, 51, 204.2, 3690, 291.0, 325.0, 384.0, 204.2, 3690, 32043, 0, 0, 0, 0, 0, 32043
480, 2187.73, 51, 217.28, 3809, 329.0, 367.0, 431.0, 217.28, 3809, 32816, 0, 0, 0, 0, 0, 32816
520, 2116.8, 53, 243.04, 3984, 362.0, 413.0, 498.0, 243.04, 3984, 31752, 0, 0, 0, 0, 0, 31752
560, 2154.27, 58, 257.28, 3306, 381.0, 437.0, 523.0, 257.28, 3306, 32314, 0, 0, 0, 0, 0, 32314
600, 2141.47, 55, 277.29, 5203, 412.9, 468.0, 565.79, 277.29, 5203, 32122, 0, 0, 0, 0, 0, 32122
640, 2170.33, 64, 291.68, 4532, 431.0, 485.0, 577.46, 291.68, 4532, 32555, 0, 0, 0, 0, 0, 32555
680, 2208.67, 70, 303.94, 1269, 448.0, 501.0, 605.0, 303.94, 1269, 33130, 0, 0, 0, 0, 0, 33130
720, 2209.0, 70, 321.39, 4269, 472.0, 524.0, 626.0, 321.39, 4269, 33135, 0, 0, 0, 0, 0, 33135
760, 2151.6, 72, 348.6, 4795, 520.0, 582.0, 690.0, 348.6, 4795, 32274, 0, 0, 0, 0, 0, 32274
800, 2111.93, 88, 372.87, 6174, 560.0, 623.0, 735.22, 372.87, 6174, 31679, 0, 0, 0, 0, 0, 31679
840, 2191.8, 76, 377.53, 4610, 571.0, 632.0, 742.0, 377.53, 4610, 32877, 0, 0, 0, 0, 0, 32877
880, 1998.47, 65, 432.32, 6536, 652.0, 722.0, 867.0, 432.32, 6536, 29977, 0, 0, 0, 0, 0, 29977
920, 1909.2, 84, 473.16, 6775, 708.0, 782.0, 940.0, 473.16, 6775, 28638, 0, 0, 0, 0, 0, 28638
960, 1924.4, 75, 488.46, 8369, 734.0, 816.0, 977.0, 488.46, 8369, 28866, 0, 0, 0, 0, 0, 28866
1000, 1879.13, 86, 520.59, 8535, 776.0, 865.0, 1016.0, 520.59, 8535, 28187, 0, 0, 0, 0, 0, 28187
