concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
20, 200.07, 20, 99.74, 1587, 147.0, 169.0, 219.0, 99.74, 1587, 3001, 0, 0, 0, 0, 0, 3001
40, 581.73, 6, 68.59, 244, 100.0, 115.0, 160.0, 68.59, 244, 8726, 0, 0, 0, 0, 0, 8726
60, 764.07, 38, 78.34, 168, 95.0, 126.0, 141.0, 78.34, 168, 11461, 0, 0, 0, 0, 0, 11461
80, 927.67, 29, 86.03, 201, 102.0, 122.0, 137.0, 86.03, 201, 13915, 0, 0, 0, 0, 0, 13915
100, 1191.27, 18, 83.72, 158, 102.0, 116.0, 132.0, 83.72, 158, 17869, 0, 0, 0, 0, 0, 17869
120, 1897.4, 24, 63.11, 265, 82.0, 89.0, 108.0, 63.11, 265, 28461, 0, 0, 0, 0, 0, 28461
140, 2297.47, 7, 60.79, 99, 73.0, 78.0, 85.0, 60.79, 99, 34462, 0, 0, 0, 0, 0, 34462
160, 2204.27, 20, 72.36, 146, 90.0, 97.0, 116.0, 72.36, 146, 33064, 0, 0, 0, 0, 0, 33064
180, 2317.53, 12, 77.43, 140, 90.0, 94.0, 103.0, 77.43, 140, 34763, 0, 0, 0, 0, 0, 34763
200, 2313.13, 11, 86.16, 141, 98.0, 102.0, 111.0, 86.16, 141, 34697, 0, 0, 0, 0, 0, 34697
220, 2225.27, 31, 98.48, 173, 111.0, 116.0, 125.0, 98.48, 173, 33379, 0, 0, 0, 0, 0, 33379
240, 2220.93, 30, 107.61, 158, 120.0, 125.0, 134.0, 107.61, 158, 33314, 0, 0, 0, 0, 0, 33314
260, 2223.4, 17, 116.37, 192, 129.0, 135.0, 144.0, 116.37, 192, 33351, 0, 0, 0, 0, 0, 33351
280, 2226.2, 15, 125.13, 182, 138.0, 143.0, 153.0, 125.13, 182, 33393, 0, 0, 0, 0, 0, 33393
300, 2196.87, 35, 135.88, 215, 150.0, 156.0, 164.0, 135.88, 215, 32953, 0, 0, 0, 0, 0, 32953
320, 2232.47, 36, 142.53, 207, 156.0, 162.0, 171.0, 142.53, 207, 33487, 0, 0, 0, 0, 0, 33487
340, 2153.93, 14, 157.02, 265, 174.0, 180.0, 203.0, 157.02, 265, 32309, 0, 0, 0, 0, 0, 32309
360, 2181.8, 33, 163.93, 231, 179.0, 185.0, 195.0, 163.93, 231, 32727, 0, 0, 0, 0, 0, 32727
380, 2137.87, 17, 176.68, 257, 194.0, 199.0, 210.0, 176.68, 257, 32068, 0, 0, 0, 0, 0, 32068
400, 2196.0, 33, 180.99, 272, 196.0, 202.0, 210.0, 180.99, 272, 32940, 0, 0, 0, 0, 0, 32940
420, 1051.87, 26, 368.71, 2758, 537.0, 597.0, 2234.0, 368.71, 2758, 15778, 0, 0, 0, 0, 0, 15778
440, 181.73, 54, 2244.97, 3726, 2632.5, 2720.0, 3357.0, 2244.97, 3726, 2726, 0, 0, 0, 0, 0, 2726
460, 191.4, 344, 2209.96, 3664, 2541.0, 2607.0, 2784.1, 2209.96, 3664, 2871, 0, 0, 0, 0, 0, 2871
480, 1395.13, 60, 341.47, 4013, 242.0, 1573.0, 2600.74, 341.47, 4013, 20927, 0, 0, 0, 0, 0, 20927
500, 2129.2, 14, 232.2, 465, 252.0, 270.0, 349.0, 232.2, 465, 31938, 0, 0, 0, 0, 0, 31938
