concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
20, 392.0, 3, 50.95, 535, 94.0, 120.0, 191.21, 50.95, 535, 5880, 0, 0, 0, 0, 42, 5922
40, 652.07, 3, 61.21, 147, 75.0, 80.0, 92.0, 61.21, 147, 9781, 0, 0, 0, 0, 98, 9879
60, 1146.07, 4, 52.26, 108, 74.0, 80.0, 89.0, 52.26, 108, 17191, 0, 0, 0, 0, 160, 17351
80, 2205.73, 15, 36.19, 83, 41.0, 44.0, 58.0, 36.19, 83, 33086, 0, 0, 0, 0, 338, 33424
100, 2126.0, 18, 46.94, 97, 52.0, 55.0, 75.0, 46.94, 97, 31890, 0, 0, 0, 0, 302, 32192
120, 2044.8, 8, 58.48, 245, 66.0, 78.0, 103.0, 58.48, 245, 30672, 0, 0, 0, 0, 280, 30952
140, 2065.33, 16, 67.57, 155, 74.0, 80.0, 101.0, 67.57, 155, 30980, 0, 0, 0, 0, 316, 31296
160, 2112.07, 23, 75.48, 135, 82.0, 86.0, 92.0, 75.48, 135, 31681, 0, 0, 0, 0, 294, 31975
180, 2125.33, 18, 84.35, 156, 92.0, 96.0, 108.0, 84.35, 156, 31880, 0, 0, 0, 0, 291, 32171
200, 2085.33, 15, 95.53, 181, 104.0, 107.0, 115.0, 95.53, 181, 31280, 0, 0, 0, 0, 339, 31619
220, 1982.6, 20, 110.54, 369, 125.0, 145.0, 209.0, 110.54, 369, 29739, 0, 0, 0, 0, 260, 29999
240, 2024.87, 15, 117.99, 575, 131.0, 149.0, 219.0, 117.99, 575, 30373, 0, 0, 0, 0, 311, 30684
260, 2041.73, 9, 126.78, 281, 140.0, 149.0, 254.0, 126.78, 281, 30626, 0, 0, 0, 0, 329, 30955
280, 2036.27, 13, 136.87, 373, 152.0, 160.0, 255.0, 136.87, 373, 30544, 0, 0, 0, 0, 300, 30844
300, 1968.07, 13, 151.67, 410, 168.0, 179.0, 288.0, 151.67, 410, 29521, 0, 0, 0, 0, 280, 29801
320, 2027.8, 18, 157.01, 303, 173.0, 189.0, 286.0, 157.01, 303, 30417, 0, 0, 0, 0, 293, 30710
340, 1976.6, 44, 171.1, 372, 192.0, 212.0, 305.0, 171.1, 372, 29649, 0, 0, 0, 0, 287, 29936
360, 1876.0, 23, 189.81, 521, 210.0, 289.0, 325.0, 189.81, 521, 28140, 0, 0, 0, 0, 235, 28375
380, 1829.2, 21, 206.36, 464, 230.0, 323.0, 342.0, 206.36, 464, 27438, 0, 0, 0, 0, 280, 27718
400, 1918.6, 17, 206.87, 434, 233.0, 326.0, 354.0, 206.87, 434, 28779, 0, 0, 0, 0, 340, 29119
420, 1879.6, 22, 221.49, 455, 259.0, 357.0, 371.0, 221.49, 455, 28194, 0, 0, 0, 0, 257, 28451
440, 1834.13, 56, 237.43, 395, 349.0, 364.0, 382.0, 237.43, 395, 27512, 0, 0, 0, 0, 230, 27742
460, 1780.8, 18, 253.33, 694, 366.0, 383.0, 417.0, 253.33, 694, 26712, 0, 0, 0, 0, 312, 27024
480, 446.53, 35, 948.03, 4000, 2601.0, 2879.0, 2921.0, 948.03, 4000, 6698, 0, 0, 0, 0, 66, 6764
500, 151.0, 39, 2574.72, 4964, 3084.0, 3124.0, 3.2e3, 2574.72, 4964, 2265, 0, 0, 0, 0, 0, 2265
