concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
40, 306.53, 101, 129.95, 901, 161.0, 178.0, 304.21, 129.95, 901, 4598, 0, 0, 0, 0, 0, 4598
80, 741.8, 100, 107.31, 212, 111.0, 114.0, 140.0, 107.31, 212, 11127, 0, 0, 0, 0, 0, 11127
120, 973.53, 100, 122.82, 310, 149.0, 160.0, 190.0, 122.82, 310, 14603, 0, 0, 0, 0, 0, 14603
160, 1472.73, 99, 108.25, 191, 115.0, 119.0, 136.0, 108.25, 191, 22091, 0, 0, 0, 0, 0, 22091
200, 1916.87, 99, 103.91, 170, 106.0, 108.0, 120.0, 103.91, 170, 28753, 0, 0, 0, 0, 0, 28753
240, 2239.73, 99, 106.64, 182, 112.0, 115.0, 124.0, 106.64, 182, 33596, 0, 0, 0, 0, 0, 33596
280, 2550.33, 100, 109.32, 197, 117.0, 121.0, 136.0, 109.32, 197, 38255, 0, 0, 0, 0, 0, 38255
320, 2763.8, 100, 115.29, 193, 127.0, 131.0, 146.0, 115.29, 193, 41457, 0, 0, 0, 0, 0, 41457
360, 2908.93, 100, 123.18, 210, 141.0, 147.0, 162.0, 123.18, 210, 43634, 0, 0, 0, 0, 0, 43634
400, 2952.33, 100, 134.79, 330, 160.0, 168.0, 182.0, 134.79, 330, 44285, 0, 0, 0, 0, 0, 44285
440, 2956.53, 100, 147.98, 334, 182.0, 193.0, 223.0, 147.98, 334, 44348, 0, 0, 0, 0, 0, 44348
480, 2977.53, 101, 160.19, 313, 201.0, 213.0, 241.0, 160.19, 313, 44663, 0, 0, 0, 0, 0, 44663
520, 3051.47, 101, 169.34, 359, 216.0, 231.0, 259.0, 169.34, 359, 45772, 0, 0, 0, 0, 0, 45772
560, 2966.93, 101, 187.48, 374, 249.0, 268.0, 301.0, 187.48, 374, 44504, 0, 0, 0, 0, 0, 44504
600, 3120.73, 101, 190.92, 361, 254.0, 271.0, 302.0, 190.92, 361, 46811, 0, 0, 0, 0, 0, 46811
640, 2998.6, 100, 211.75, 412, 291.0, 313.0, 350.0, 211.75, 412, 44979, 0, 0, 0, 0, 0, 44979
680, 2984.27, 102, 225.71, 444, 312.0, 335.0, 376.0, 225.71, 444, 44764, 0, 0, 0, 0, 0, 44764
720, 2640.53, 102, 270.17, 737, 385.0, 429.0, 525.0, 270.17, 737, 39608, 0, 0, 0, 0, 0, 39608
760, 2748.47, 102, 273.37, 633, 383.0, 421.0, 486.0, 273.37, 633, 41227, 0, 0, 0, 0, 0, 41227
800, 2617.87, 110, 302.52, 2695, 428.0, 465.0, 542.0, 302.52, 2695, 39268, 0, 0, 0, 0, 0, 39268
840, 2699.0, 102, 307.98, 697, 424.0, 462.0, 547.0, 307.98, 697, 40485, 0, 0, 0, 0, 0, 40485
880, 2644.47, 102, 329.18, 797, 454.0, 491.0, 587.0, 329.18, 797, 39667, 0, 0, 0, 0, 0, 39667
920, 2608.73, 105, 347.86, 761, 477.0, 515.0, 597.0, 347.86, 761, 39131, 0, 0, 0, 0, 0, 39131
960, 2589.0, 124, 365.79, 4049, 496.0, 541.0, 631.0, 365.79, 4049, 38835, 0, 0, 0, 0, 0, 38835
1000, 2595.87, 108, 380.77, 794, 516.0, 563.0, 662.63, 380.77, 794, 38938, 0, 0, 0, 0, 0, 38938
