concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
40, 306.4, 14, 130.21, 823, 207.0, 293.25, 406.05, 130.21, 823, 4596, 0, 0, 0, 0, 40, 4636
80, 550.6, 12, 144.77, 207, 166.0, 174.0, 185.0, 144.77, 207, 8259, 0, 0, 0, 0, 80, 8339
120, 730.47, 13, 163.22, 209, 180.0, 186.0, 192.0, 163.22, 209, 10957, 0, 0, 0, 0, 42, 10999
160, 875.2, 17, 181.94, 237, 210.0, 215.0, 221.0, 181.94, 237, 13128, 0, 0, 0, 0, 79, 13207
200, 1488.93, 16, 133.95, 249, 183.0, 195.0, 206.0, 133.95, 249, 22334, 0, 0, 0, 0, 239, 22573
240, 1699.87, 21, 140.5, 328, 175.0, 187.0, 210.0, 140.5, 328, 25498, 0, 0, 0, 0, 292, 25790
280, 1795.6, 18, 154.58, 327, 168.0, 186.0, 315.67, 154.58, 327, 26934, 0, 0, 0, 0, 207, 27141
320, 1817.67, 17, 175.43, 334, 186.0, 195.0, 326.0, 175.43, 334, 27265, 0, 0, 0, 0, 193, 27458
360, 1665.87, 15, 213.99, 423, 250.0, 318.0, 398.0, 213.99, 423, 24988, 0, 0, 0, 0, 268, 25256
400, 1628.93, 26, 244.44, 412, 360.0, 380.0, 402.0, 244.44, 412, 24434, 0, 0, 0, 0, 360, 24794
440, 1557.13, 13, 280.37, 514, 372.0, 409.0, 466.0, 280.37, 514, 23357, 0, 0, 0, 0, 40, 23397
480, 1537.67, 15, 308.34, 434, 417.0, 422.0, 427.0, 308.34, 434, 23065, 0, 0, 0, 0, 400, 23465
520, 1458.2, 18, 349.7, 529, 448.0, 457.0, 514.0, 349.7, 529, 21873, 0, 0, 0, 0, 40, 21913
560, 1352.47, 28, 406.87, 604, 496.0, 509.0, 547.0, 406.87, 604, 20287, 0, 0, 0, 0, 289, 20576
600, 1361.8, 125, 432.79, 553, 518.0, 537.7, 549.0, 432.79, 553, 20427, 0, 0, 0, 0, 191, 20618
640, 1366.07, 138, 459.7, 574, 544.0, 550.0, 555.0, 459.7, 574, 20491, 0, 0, 0, 0, 80, 20571
680, 1291.53, 48, 515.53, 1142, 579.0, 597.0, 604.0, 515.53, 1142, 19373, 0, 0, 0, 0, 226, 19599
720, 1249.13, 63, 568.8, 784, 627.0, 630.0, 645.0, 568.8, 784, 18737, 0, 0, 0, 0, 294, 19031
760, 1267.73, 165, 592.09, 769, 720.0, 752.0, 763.0, 592.09, 769, 19016, 0, 0, 0, 0, 40, 19056
800, 1174.4, 136, 671.51, 833, 802.0, 811.0, 820.0, 671.51, 833, 17616, 0, 0, 0, 0, 160, 17776
840, 1175.8, 187, 704.73, 844, 830.0, 832.0, 838.0, 704.73, 844, 17637, 0, 0, 0, 0, 161, 17798
880, 1121.73, 153, 756.88, 915, 874.0, 904.0, 908.0, 756.88, 915, 16826, 0, 0, 0, 0, 279, 17105
920, 1070.07, 226, 835.17, 934, 917.0, 920.0, 922.0, 835.17, 934, 16051, 0, 0, 0, 0, 124, 16175
960, 1079.93, 263, 876.27, 1080, 1010.0, 1032.0, 1040.0, 876.27, 1080, 16199, 0, 0, 0, 0, 72, 16271
1000, 1021.07, 224, 936.92, 1246, 1016.0, 1053.0, 1162.0, 936.92, 1246, 15316, 0, 0, 0, 0, 112, 15428
