concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
20, 1706.13, 1, 11.7, 356, 21.0, 28.0, 46.0, 11.7, 356, 25592, 0, 0, 0, 0, 0, 25592
40, 3227.4, 1, 12.37, 231, 20.0, 21.0, 26.0, 12.37, 231, 48411, 0, 0, 0, 0, 0, 48411
60, 6519.0, 0, 9.18, 222, 15.0, 18.0, 25.0, 9.18, 222, 97785, 0, 0, 0, 0, 0, 97785
80, 9252.73, 0, 8.62, 159, 13.0, 15.0, 18.0, 8.62, 159, 138791, 0, 0, 0, 0, 0, 138791
100, 9303.4, 0, 10.72, 212, 17.0, 19.0, 21.0, 10.72, 212, 139551, 0, 0, 0, 0, 0, 139551
120, 9289.4, 2, 12.89, 176, 20.0, 23.0, 25.0, 12.89, 176, 139341, 0, 0, 0, 0, 0, 139341
140, 9296.6, 1, 15.02, 374, 24.0, 26.0, 30.0, 15.02, 374, 139449, 0, 0, 0, 0, 0, 139449
160, 9254.2, 2, 17.25, 311, 21.0, 31.0, 34.0, 17.25, 311, 138813, 0, 0, 0, 0, 0, 138813
180, 9309.67, 2, 19.29, 308, 23.0, 35.0, 38.0, 19.29, 308, 139645, 0, 0, 0, 0, 0, 139645
200, 8760.4, 1, 22.78, 396, 26.0, 40.0, 45.0, 22.78, 396, 131406, 0, 0, 0, 0, 0, 131406
220, 9027.13, 1, 24.31, 374, 28.0, 42.0, 48.0, 24.31, 374, 135407, 0, 0, 0, 0, 0, 135407
240, 8995.13, 1, 26.62, 529, 30.0, 45.0, 53.0, 26.62, 529, 134927, 0, 0, 0, 0, 0, 134927
260, 8920.27, 1, 29.08, 527, 32.0, 50.0, 57.0, 29.08, 527, 133804, 0, 0, 0, 0, 0, 133804
280, 9164.0, 3, 30.49, 489, 34.0, 51.0, 61.0, 30.49, 489, 137460, 0, 0, 0, 0, 0, 137460
300, 9449.2, 3, 31.68, 601, 35.0, 55.0, 62.0, 31.68, 601, 141738, 0, 0, 0, 0, 0, 141738
