concurrency, throughput, min latency (ms), mean latency (ms), max latency (ms), p90 latency (ms), p95 latency (ms), p99 latency (ms), http_mean_latency, http_max_latency, 2xx requests, 3xx requests, 4xx requests, 5xx requests, http_errors, total_errors, total_requests
20, 1276.87, 0, 15.63, 152, 22.0, 31.0, 60.0, 15.63, 152, 19153, 0, 0, 0, 0, 180, 19333
40, 4146.27, 0, 9.61, 1965, 18.0, 19.0, 22.0, 9.61, 1965, 62194, 0, 0, 0, 0, 606, 62800
60, 5700.87, 0, 10.49, 1328, 11.0, 12.0, 14.0, 10.49, 1328, 85513, 0, 0, 0, 0, 852, 86365
80, 5635.33, 0, 14.16, 28, 15.0, 16.0, 18.0, 14.16, 28, 84530, 0, 0, 0, 0, 830, 85360
100, 5601.13, 0, 17.81, 37, 19.0, 20.0, 22.0, 17.81, 37, 84017, 0, 0, 0, 0, 833, 84850
120, 5618.07, 1, 21.29, 69, 23.0, 24.0, 27.0, 21.29, 69, 84271, 0, 0, 0, 0, 855, 85126
140, 5594.6, 0, 24.97, 61, 27.0, 28.0, 31.0, 24.97, 61, 83919, 0, 0, 0, 0, 827, 84746
160, 5587.47, 0, 28.57, 40, 30.0, 31.0, 35.0, 28.57, 40, 83812, 0, 0, 0, 0, 833, 84645
180, 5618.4, 1, 31.96, 43, 34.0, 35.0, 37.0, 31.96, 43, 84276, 0, 0, 0, 0, 784, 85060
200, 5461.4, 0, 36.53, 91, 39.0, 42.0, 57.0, 36.53, 91, 81921, 0, 0, 0, 0, 886, 82807
220, 5501.33, 1, 39.9, 57, 43.0, 45.0, 48.0, 39.9, 57, 82520, 0, 0, 0, 0, 747, 83267
240, 5262.07, 0, 45.49, 222, 47.0, 55.0, 85.0, 45.49, 222, 78931, 0, 0, 0, 0, 862, 79793
260, 5610.8, 0, 46.21, 68, 49.0, 50.0, 52.0, 46.21, 68, 84162, 0, 0, 0, 0, 801, 84963
280, 5427.07, 1, 51.45, 114, 54.0, 55.0, 90.0, 51.45, 114, 81406, 0, 0, 0, 0, 818, 82224
300, 5454.73, 1, 54.83, 64, 58.0, 59.0, 62.0, 54.83, 64, 81821, 0, 0, 0, 0, 785, 82606
